SequenceName	ClusterNumber
RSRS	-1
HG02561	1
HG02678	1
NA19909	1
HG01956	1
HG01886	1
HG03066	1
HG02820	1
HG02635	1
HG03470	1
HG03436	1
HG03469	1
HG03058	1
HG02571	1
HG02646	1
NA20412	1
HG02589	1
NA20289	1
HG03057	1
NA20282	1
HG03052	1
HG02855	1
HG02840	1
NA20321	1
NA20320	1
HG02891	1
HG02811	1
HG03295	1
NA19834	1
NA19041	1
HG03442	1
NA19431	1
NA18486	1
NA19131	1
HG03311	1
HG03351	1
HG01988	1
HG02772	1
HG02562	1
NA18501	1
HG03270	1
HG03079	1
NA18917	1
NA19916	1
HG03073	1
HG02477	1
HG03099	1
HG03103	1
NA19198	1
NA19462	1
NA19190	1
NA18933	1
HG02580	1
NA19210	1
HG02343	1
HG03120	1
HG03166	1
HG02108	1
NA18498	1
NA19206	1
HG03112	1
HG03136	1
NA19471	1
NA18923	1
NA18507	1
NA18924	1
HG02307	1
NA19207	1
NA19223	1
HG03109	1
HG02974	1
NA19474	2
NA19314	2
NA19031	2
NA19454	-1
NA19327	-1
NA19332	3
NA19461	3
NA19455	3
NA19318	3
NA19043	3
HG03063	4
NA18510	4
HG03084	4
HG02111	4
NA19379	4
NA19350	4
NA19027	4
NA19042	4
HG02420	4
NA18861	4
HG02971	4
NA18877	4
HG03298	4
NA18876	4
HG02433	4
NA19430	4
HG03517	4
HG03267	4
NA20355	4
NA20334	4
HG02981	4
HG03268	4
NA19137	4
HG03127	4
HG01882	4
NA19440	4
NA19467	4
NA19703	4
NA19466	4
NA19448	4
NA19449	4
NA19328	5
NA19904	5
NA19713	5
NA19312	5
NA19317	6
NA19308	6
NA19019	6
NA19404	7
NA19374	7
NA19256	8
NA18915	8
NA19390	8
HG03343	9
HG01986	9
NA20362	9
NA20359	9
HG02983	9
HG01990	9
NA19914	9
HG03439	10
HG03172	10
NA19901	10
NA18881	10
HG03193	10
HG02923	10
NA19213	10
HG03111	10
HG02946	10
HG03162	10
NA19172	10
HG02541	10
NA18520	10
HG03303	10
HG03240	-1
HG03499	11
HG03313	11
HG02283	11
HG03168	11
NA19323	11
HG02282	11
NA19712	12
HG03133	12
HG02332	12
NA19378	12
HG03363	12
HG03271	12
HG03300	12
HG02442	12
NA19383	-1
HG03259	13
HG02570	13
HG03458	13
HG02496	13
NA18879	14
HG03189	14
HG03139	14
NA19463	15
NA19445	15
NA19435	15
NA19434	15
HG02799	16
HG03279	16
HG02970	16
HG03437	16
HG02545	16
HG02881	16
HG02536	16
NA19028	-1
NA19201	17
HG03367	17
NA19108	17
NA19146	17
HG03130	17
HG03209	-1
NA19917	-1
HG03385	18
HG03391	18
HG03380	18
HG02014	18
HG03464	19
HG03096	19
HG02611	19
NA19438	-1
NA19197	20
HG02284	20
NA19248	20
NA18870	20
HG02645	20
NA19247	20
HG02804	20
HG02837	20
HG02595	20
HG02555	20
NA19209	20
HG02952	20
HG03291	20
HG03472	20
HG02982	20
HG02887	20
HG03046	20
HG02760	20
HG03515	20
NA18522	20
NA18516	20
NA19024	20
NA19984	20
NA19185	20
HG03072	21
HG02879	21
HG02703	21
HG02756	21
HG02878	21
HG02757	21
HG03376	21
HG03049	21
HG03157	21
HG03388	21
HG02836	21
NA18517	21
HG03354	21
HG03069	21
HG03473	21
HG03433	21
HG03476	21
HG03455	21
HG02715	21
NA19835	21
NA20127	21
HG02667	21
HG02462	21
HG02896	21
HG02643	21
HG03091	21
HG03225	21
HG02882	21
HG02814	21
HG01989	21
HG03074	21
HG02144	21
HG03451	21
HG02759	21
HG02505	21
HG03048	21
HG01880	21
HG03484	21
HG02642	21
HG02624	21
HG02888	21
NA19152	22
HG03202	22
HG02577	22
HG03132	22
NA19129	22
NA20357	22
NA19116	22
HG02337	22
HG01958	22
HG03028	22
NA19239	22
HG02419	22
NA19403	22
HG02009	22
HG03461	22
HG03064	22
HG03432	22
NA18878	22
HG02497	22
HG02314	22
HG02554	22
NA18856	22
HG02489	22
NA20274	22
NA19625	22
NA18519	22
HG02325	22
NA19225	22
HG03342	22
HG03121	22
NA19099	22
NA19394	22
HG02679	22
HG03078	22
NA18868	22
NA20351	22
HG03117	22
HG02508	22
NA18912	22
HG03571	22
HG03557	22
NA19923	22
HG02895	22
HG02861	22
HG01896	22
NA19130	22
NA19096	22
HG03088	22
HG02851	22
NA19908	22
HG02819	22
NA18910	22
HG03449	22
HG02808	22
HG02502	22
HG02549	22
NA18908	22
HG02455	22
NA19093	22
HG02546	22
NA19149	22
HG02317	22
NA20332	22
HG03457	22
HG03428	22
HG03382	22
HG02281	22
HG03097	22
HG02716	22
HG02620	22
HG02629	22
HG03485	22
HG03401	22
HG03547	22
HG03085	22
HG02568	22
NA19452	22
HG03123	22
NA19095	22
NA19351	22
HG03563	22
HG02941	22
NA19117	22
NA20287	22
HG02439	22
HG03169	22
HG02977	22
HG03539	22
HG02676	22
NA20276	22
HG02870	22
HG02588	22
NA18874	22
HG03460	22
NA19102	22
HG03548	22
HG03410	22
HG03578	22
NA20340	22
HG02922	22
NA18489	22
HG02860	22
HG02852	22
HG02501	22
HG01889	22
HG03114	22
HG02979	22
NA18505	22
HG02481	22
HG01890	22
NA18523	22
HG02479	22
HG02429	22
HG03452	22
HG03159	22
NA19189	22
HG01915	22
HG03575	22
NA20126	22
HG03163	22
HG02476	22
HG03297	22
HG02557	22
