SequenceName	ClusterNumber
RSRS	-1
NA19327	1
NA19454	1
NA19474	1
NA19314	1
NA19031	1
NA19328	1
NA19904	1
NA19713	1
NA19312	1
HG03063	1
NA18510	1
HG03084	1
HG02111	1
NA19379	1
NA19350	1
NA19027	1
NA19042	1
HG02420	1
NA18861	1
HG02971	1
NA18877	1
HG03298	1
NA18876	1
HG02433	1
NA19430	1
HG03517	1
HG03267	1
NA20355	1
NA20334	1
HG02981	1
HG03268	1
NA19137	1
HG03127	1
HG01882	1
NA19440	1
NA19467	1
NA19703	1
NA19466	1
NA19448	1
NA19449	1
NA19332	2
NA19461	2
NA19455	2
NA19318	2
NA19043	2
NA19404	2
NA19374	2
NA19317	2
NA19308	2
NA19019	2
HG03240	2
HG03209	2
NA19201	2
HG03367	2
NA19108	2
NA19146	2
HG03130	2
NA19028	2
NA19443	2
NA19393	2
NA19376	2
NA19152	2
HG03202	2
HG02577	2
HG03132	2
NA19129	2
NA20357	2
NA19116	2
HG02337	2
HG01958	2
HG03028	2
NA19239	2
HG02419	2
NA19403	2
HG02009	2
HG03461	2
HG03064	2
HG03432	2
NA18878	2
HG02497	2
HG02314	2
HG02554	2
NA18856	2
HG02489	2
NA20274	2
NA19625	2
NA18519	2
HG02325	2
NA19225	2
HG03342	2
HG03121	2
NA19099	2
NA19394	2
HG02679	2
HG03078	2
NA18868	2
NA20351	2
HG03117	2
HG02508	2
NA18912	2
HG03571	2
HG03557	2
NA19923	2
HG02895	2
HG02861	2
HG01896	2
NA19130	2
NA19096	2
HG03088	2
HG02851	2
NA19908	2
HG02819	2
NA18910	2
HG03449	2
HG02808	2
HG02502	2
HG02549	2
NA18908	2
HG02455	2
NA19093	2
HG02546	2
NA19149	2
HG02317	2
NA20332	2
HG03457	2
HG03428	2
HG03382	2
HG02281	2
HG03097	2
HG02716	2
HG02620	2
HG02629	2
HG03485	2
HG03401	2
HG03547	2
HG03085	2
HG02568	2
NA19452	2
HG03123	2
NA19095	2
NA19351	2
HG03563	2
HG02941	2
NA19117	2
NA20287	2
HG02439	2
HG03169	2
HG02977	2
HG03539	2
HG02676	2
NA20276	2
HG02870	2
HG02588	2
NA18874	2
HG03460	2
NA19102	2
HG03548	2
HG03410	2
HG03578	2
NA20340	2
HG02922	2
NA18489	2
HG02860	2
HG02852	2
HG02501	2
HG01889	2
HG03114	2
HG02979	2
NA18505	2
HG02481	2
HG01890	2
NA18523	2
HG02479	2
HG02429	2
HG03452	2
HG03159	2
NA19189	2
HG01915	2
HG03575	2
NA20126	2
HG03163	2
HG02476	2
HG03297	2
HG02557	2
HG03135	2
HG03199	2
NA19395	2
HG02885	2
NA19023	2
NA18511	2
HG03514	2
HG02051	2
HG01883	2
HG02799	2
HG03279	2
HG02970	2
HG03437	2
HG02545	2
HG02881	2
HG02536	2
HG03072	2
HG02879	2
HG02703	2
HG02756	2
HG02878	2
HG02757	2
HG03376	2
HG03049	2
HG03157	2
HG03388	2
HG02836	2
NA18517	2
HG03354	2
HG03069	2
HG03473	2
HG03433	2
HG03476	2
HG03455	2
HG02715	2
NA19835	2
NA20127	2
HG02667	2
HG02462	2
HG02896	2
HG02643	2
HG03091	2
HG03225	2
HG02882	2
HG02814	2
HG01989	2
HG03074	2
HG02144	2
HG03451	2
HG02759	2
HG02505	2
HG03048	2
HG01880	2
HG03484	2
HG02642	2
HG02624	2
HG02888	2
NA19197	2
HG02284	2
NA19248	2
NA18870	2
HG02645	2
NA19247	2
HG02804	2
HG02837	2
HG02595	2
HG02555	2
NA19209	2
HG02952	2
HG03291	2
HG03472	2
HG02982	2
HG02887	2
HG03046	2
HG02760	2
HG03515	2
NA18522	2
NA18516	2
NA19024	2
NA19984	2
NA19185	2
NA19463	2
NA19445	2
NA19435	2
NA19434	2
NA18879	2
HG03189	2
HG03139	2
HG03259	2
HG02570	2
HG03458	2
HG02496	2
NA19383	2
HG03439	2
HG03172	2
NA19901	2
NA18881	2
HG03193	2
