SequenceName	ClusterNumber
RSRS	-1
HG02561	1
HG02678	1
NA19909	1
HG01956	1
HG01886	1
HG03066	1
HG02820	1
HG02635	1
HG03470	1
HG03436	1
HG03469	1
HG03058	1
HG02571	1
HG02646	1
NA20412	1
HG02589	1
NA20289	1
HG03057	1
NA20282	1
HG03052	1
HG02855	1
HG02840	1
NA20321	1
NA20320	1
HG02891	1
HG02811	1
HG03295	1
NA19834	1
NA19041	1
HG03442	1
NA19431	1
NA18486	1
NA19131	1
HG03311	1
HG03351	1
HG01988	1
HG02772	1
HG02562	1
NA18501	1
HG03270	1
HG03079	1
NA18917	1
NA19916	1
HG03073	1
HG02477	1
HG03099	1
HG03103	1
NA19198	1
NA19462	1
NA19190	1
NA18933	1
HG02580	1
NA19210	1
HG02343	1
HG03120	1
HG03166	1
HG02108	1
NA18498	1
NA19206	1
HG03112	1
HG03136	1
NA19471	1
NA18923	1
NA18507	1
NA18924	1
HG02307	1
NA19207	1
NA19223	1
HG03109	1
HG02974	1
NA19328	2
NA19904	2
NA19713	2
NA19312	2
HG03063	2
NA18510	2
HG03084	2
HG02111	2
NA19379	2
NA19350	2
NA19027	2
NA19042	2
HG02420	2
NA18861	2
HG02971	2
NA18877	2
HG03298	2
NA18876	2
HG02433	2
NA19430	2
HG03517	2
HG03267	2
NA20355	2
NA20334	2
HG02981	2
HG03268	2
NA19137	2
HG03127	2
HG01882	2
NA19440	2
NA19467	2
NA19703	2
NA19466	2
NA19448	2
NA19449	2
NA19474	3
NA19314	3
NA19031	3
NA19454	-1
NA19327	-1
NA19332	4
NA19461	4
NA19455	4
NA19318	4
NA19043	4
HG03343	5
HG01986	5
NA20362	5
NA20359	5
HG02983	5
HG01990	5
NA19914	5
NA19256	5
NA18915	5
NA19390	5
HG03240	6
HG03209	6
NA19201	6
HG03367	6
NA19108	6
NA19146	6
HG03130	6
NA19317	7
NA19308	7
NA19019	7
NA19404	8
NA19374	8
NA19712	9
HG03133	9
HG02332	9
NA19378	9
HG03363	9
HG03271	9
HG03300	9
HG02442	9
HG03499	9
HG03313	9
HG02283	9
HG03168	9
NA19323	9
HG02282	9
HG03439	10
HG03172	10
NA19901	10
NA18881	10
HG03193	10
HG02923	10
NA19213	10
HG03111	10
HG02946	10
HG03162	10
NA19172	10
HG02541	10
NA18520	10
HG03303	10
HG03259	11
HG02570	11
HG03458	11
HG02496	11
NA19383	11
NA19463	12
NA19445	12
NA19435	12
NA19434	12
NA18879	12
HG03189	12
HG03139	12
NA19028	13
NA19443	13
NA19393	13
NA19376	13
NA19152	13
HG03202	13
HG02577	13
HG03132	13
NA19129	13
NA20357	13
NA19116	13
HG02337	13
HG01958	13
HG03028	13
NA19239	13
HG02419	13
NA19403	13
HG02009	13
HG03461	13
HG03064	13
HG03432	13
NA18878	13
HG02497	13
HG02314	13
HG02554	13
NA18856	13
HG02489	13
NA20274	13
NA19625	13
NA18519	13
HG02325	13
NA19225	13
HG03342	13
HG03121	13
NA19099	13
NA19394	13
HG02679	13
HG03078	13
NA18868	13
NA20351	13
HG03117	13
HG02508	13
NA18912	13
HG03571	13
HG03557	13
NA19923	13
HG02895	13
HG02861	13
HG01896	13
NA19130	13
NA19096	13
HG03088	13
HG02851	13
NA19908	13
HG02819	13
NA18910	13
HG03449	13
HG02808	13
HG02502	13
HG02549	13
NA18908	13
HG02455	13
NA19093	13
HG02546	13
NA19149	13
HG02317	13
NA20332	13
HG03457	13
HG03428	13
HG03382	13
HG02281	13
HG03097	13
HG02716	13
HG02620	13
HG02629	13
HG03485	13
HG03401	13
HG03547	13
HG03085	13
HG02568	13
NA19452	13
HG03123	13
NA19095	13
NA19351	13
HG03563	13
HG02941	13
NA19117	13
NA20287	13
HG02439	13
HG03169	13
HG02977	13
HG03539	13
HG02676	13
NA20276	13
HG02870	13
HG02588	13
NA18874	13
HG03460	13
NA19102	13
HG03548	13
HG03410	13
HG03578	13
NA20340	13
HG02922	13
NA18489	13
HG02860	13
HG02852	13
HG02501	13
HG01889	13
HG03114	13
HG02979	13
NA18505	13
HG02481	13
HG01890	13
NA18523	13
HG02479	13
HG02429	13
HG03452	13
HG03159	13
NA19189	13
HG01915	13
HG03575	13
NA20126	13
HG03163	13
HG02476	13
HG03297	13
HG02557	13
HG03135	13
HG03199	13
NA19395	13
HG02885	13
NA19023	13
NA18511	13
HG03514	13
HG02051	13
HG01883	13
NA19917	14
HG02322	14
HG02053	14
HG02052	14
HG02427	14
HG02010	14
NA20281	14
NA19385	14
HG03397	14
HG03077	14
HG01885	14
HG03464	15
HG03096	15
HG02611	15
HG03385	15
HG03391	15
HG03380	15
HG02014	15
NA20298	16
HG02582	16
HG02143	16
NA19437	16
NA19446	16
NA19401	16
HG01985	16
HG03196	16
NA19399	16
NA19391	16
HG02323	16
NA19818	16
NA19035	16
HG02947	16
HG03126	16
NA19114	16
HG02013	16
HG03520	16
NA19184	16
NA19141	16
HG03118	16
HG03190	16
HG02976	16
HG02943	16
NA19319	16
NA19200	16
NA19711	16
HG02817	16
NA19171	16
HG03105	16
NA19900	16
HG03378	16
HG03082	16
HG03372	16
HG03369	16
NA18873	16
NA19315	16
HG02666	16
HG02449	16
NA18909	16
HG03081	16
NA20291	16
HG02464	16
HG03556	16
HG03212	16
HG03025	16
HG02769	16
NA19020	16
HG02839	16
HG03027	16
HG02890	16
HG02573	16
