SequenceName	ClusterNumber
RSRS	-1
NA19474	1
NA19314	1
NA19031	1
NA19454	-1
NA19327	-1
NA19328	2
NA19904	2
NA19713	2
NA19312	2
NA19317	3
NA19308	3
NA19019	3
NA19461	4
NA19455	4
NA19318	4
NA19043	4
NA19332	-1
NA18501	5
HG03270	5
HG03079	5
NA18917	5
NA19916	5
HG03073	5
HG02477	5
HG03099	5
HG03103	5
NA19198	5
NA19462	5
NA19190	5
NA18933	5
HG02580	5
NA19210	5
HG02343	5
HG03120	5
HG03166	5
HG02108	5
NA18498	5
NA19206	5
HG03112	5
HG03136	5
NA19471	5
NA18923	5
NA18507	5
NA18924	5
HG02307	5
NA19207	5
NA19223	5
HG03109	5
HG02974	5
HG02561	-1
HG03240	-1
NA19374	-1
NA19404	-1
HG02646	6
NA20412	6
HG02589	6
NA20289	6
HG03057	6
NA20282	6
HG03052	6
HG02855	6
HG02840	6
NA20321	6
NA20320	6
HG02891	6
HG02811	6
HG03295	6
NA19834	6
NA19041	6
HG03442	6
NA19431	6
NA18486	6
NA19131	6
HG03311	6
HG03351	6
HG01988	6
HG02772	6
HG02562	6
HG02635	7
HG03470	7
HG03436	7
HG03469	7
HG03058	7
HG02571	7
HG02678	8
NA19909	8
HG01956	8
NA18915	9
NA19390	9
NA19256	-1
HG02983	10
HG01990	10
NA19914	10
HG03343	11
HG01986	11
NA20362	11
NA20359	11
NA19703	12
NA19466	12
NA19448	12
NA19449	12
NA19440	13
NA19467	13
HG03063	-1
NA19213	14
HG03111	14
HG02946	14
HG03162	14
NA19172	14
HG02541	14
NA18520	14
HG03303	14
HG03439	15
HG03172	15
NA19901	15
NA18881	15
HG03193	15
HG02923	15
NA19383	-1
HG03259	16
HG02570	16
HG03458	16
HG02496	16
NA18879	17
HG03189	17
HG03139	17
NA19028	-1
HG03209	-1
HG03066	18
HG02820	18
HG01886	-1
NA19917	-1
HG03499	19
HG03313	19
HG02283	19
NA19712	20
HG03133	20
HG02332	20
HG02420	21
NA18861	21
HG02971	21
NA18877	21
HG03298	21
NA18876	21
HG02433	21
NA19430	21
HG03517	21
HG03267	21
NA20355	21
NA20334	21
HG02981	21
HG03268	21
NA19137	21
HG03127	21
HG01882	21
NA18510	22
HG03084	22
HG02111	22
NA19379	22
NA19350	22
NA19027	22
NA19042	22
NA19438	-1
NA19445	23
NA19435	23
NA19434	23
NA19463	-1
HG02799	-1
HG03367	24
NA19108	24
NA19146	24
HG03130	24
NA19201	-1
HG02014	-1
HG02611	-1
HG03464	25
HG03096	25
HG03168	-1
HG03300	26
HG02442	26
NA19446	27
NA19401	27
NA19197	28
HG02284	28
HG03072	29
HG02879	29
HG03279	30
HG02970	30
HG03437	30
HG02545	30
NA19152	31
HG03202	31
HG02577	31
HG03132	31
NA19129	31
NA19393	32
NA19376	32
NA19443	-1
HG03397	33
HG03077	33
HG01885	33
HG02427	-1
HG03391	34
HG03380	34
HG03385	-1
HG02282	-1
NA19323	-1
HG03363	35
HG03271	35
NA19378	-1
HG02511	36
NA20314	36
HG01985	-1
NA19437	-1
NA19248	37
NA18870	37
HG02645	37
HG02703	-1
HG02536	-1
HG02881	-1
NA19385	-1
HG02010	38
NA20281	38
HG02052	-1
HG02322	39
HG02053	39
NA19025	-1
NA19020	40
HG02839	40
HG03027	40
HG02890	40
HG02573	40
NA19707	40
NA19204	40
HG03577	40
HG03478	40
NA19921	40
HG02938	40
NA19704	40
HG02012	40
NA19092	40
NA19118	40
HG03175	40
NA18934	40
HG02944	40
HG02450	40
